,text,favorited,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,retweeted,longitude,latitude
1,"RT @oceanclub: @eilisohanlon @stonyjim @vonprond Eilis, I'm from Pearse St and even I can tell a Chardonnay (smells like cat's pee) from so…",FALSE,NA,8/8/13 11:48,FALSE,NA,3.65439E+17,NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",KarenMMcCormack,2,FALSE,NA,NA
2,“@roystbaggage: 'Go to your Auntie Chardonnay and she will help you piss up against that wall' - the scum of Dover.”what's this even mean ha,FALSE,roystbaggage,8/8/13 11:47,FALSE,3.65437E+17,3.65439E+17,438433827,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",a_m_y_xo,0,FALSE,NA,NA
3,Big thank you to Ian at Fowles wine for making me a Chardonnay drinker. @LadiesWhoShoot #wrongwayround http://t.co/KiA2StsOEO,FALSE,NA,8/8/13 11:45,FALSE,NA,3.65439E+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",MSiddiqi,0,FALSE,NA,NA
4,"RT @oceanclub: @eilisohanlon @stonyjim @vonprond Eilis, I'm from Pearse St and even I can tell a Chardonnay (smells like cat's pee) from so…",FALSE,NA,8/8/13 11:44,FALSE,NA,3.65438E+17,NA,web,eilisohanlon,2,FALSE,NA,NA
5,"After to worst rain at night known, floating flip flops, we have woke to the hottest sun!! #pool #sunshine #Chardonnay #happyhols ",FALSE,NA,8/8/13 11:42,FALSE,NA,3.65438E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",auchenhouse,0,FALSE,NA,NA
6,"@eilisohanlon @stonyjim @vonprond Eilis, I'm from Pearse St and even I can tell a Chardonnay (smells like cat's pee) from something else.",FALSE,eilisohanlon,8/8/13 11:38,FALSE,3.65425E+17,3.65437E+17,135630141,web,oceanclub,2,FALSE,NA,NA
7,'Go to your Auntie Chardonnay and she will help you piss up against that wall' - the scum of Dover.,FALSE,NA,8/8/13 11:38,FALSE,NA,3.65437E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",roystbaggage,0,FALSE,NA,NA
8,RT @vcveats: 446 Chardonnay http://t.co/ucSyVGev93 #winetourism,FALSE,NA,8/8/13 11:36,FALSE,NA,3.65436E+17,NA,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",bestwineries,2,FALSE,NA,NA
9,#catenaalta #chardonnay still open on our tasting counter - #comeandexplore and tell us what you think!,FALSE,NA,8/8/13 11:35,FALSE,NA,3.65436E+17,NA,"<a href=""http://www.majestic.co.uk"" rel=""nofollow"">Majestic Wine</a>",majestictun,0,FALSE,NA,NA
10,"Pls do""@kc_chardonnay: Hehehe, kumn ova!""@Kinbusorlah: See the way muslims are bringing food to our house :D""""",FALSE,NA,8/8/13 11:32,FALSE,NA,3.65435E+17,NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",Kinbusorlah,0,FALSE,NA,NA
11,"Hehehe, kumn ova!""@Kinbusorlah: See the way muslims are bringing food to our house :D""",FALSE,NA,8/8/13 11:32,FALSE,NA,3.65435E+17,NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",kc_chardonnay,0,FALSE,NA,NA
12,RT @Boity: Chardonnay &amp; Rainbow Cake with my @mantsoepout http://t.co/a3Bbd8w1fO,FALSE,NA,8/8/13 11:31,FALSE,NA,3.65435E+17,NA,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",KingMartinIV,0,FALSE,NA,NA
13,Tomorrow I'm going to have a nice glass of Chardonnay and wind down with a good book in the corner of the county:-),FALSE,NA,8/8/13 11:30,FALSE,NA,3.65435E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Alan_and_Gabana,0,FALSE,NA,NA
